period,si,ni,rpi,spi,AQI
1987-01,22.34814021861503,37.77917477762565,109.6109280617947,250.0523548340307,259.5638122028759
1987-02,24.87674248088569,44.82129438384789,109.6109280617947,239.15517898381304,253.6364671538558
1987-03,24.79471537636498,43.57198546101543,109.6109280617947,306.2739447126665,322.9383658599252
1987-04,23.476982931306278,35.47052920580802,109.61092806179468,195.81159420289856,227.0856851229431
1987-05,24.70433554333606,49.43932482808339,109.6109280617947,315.87280701754383,336.65347986940617
1987-06,22.528362258097353,46.74814694603772,109.6109280617947,290.0627123426979,290.0627123426979
1987-07,16.502207161336294,39.477405724452815,109.6109280617947,208.525,208.525
1987-08,22.895833333333332,38.5,109.6109280617947,288.4444444444444,288.4444444444444
1987-09,19.152575927505552,41.334139311132034,109.6109280617947,289.4222465997214,289.4222465997214
1987-10,20.84706074200444,29.932217173358445,109.6109280617947,143.3,171.72218561235894
1987-11,17.937167228791242,15.835013010120035,109.61092806179471,247.4318181818182,262.7373570965268
1987-12,37.82169197583518,56.596757155566024,109.6109280617947,350.375,350.375
1988-01,26.011462155198082,43.0931132541475,109.6109280617947,213.95217792235334,231.47203183633815
1988-02,24.81731751651929,43.89256379846627,109.6109280617947,206.44447629169952,231.63838672069542
1988-03,23.645588576356346,37.525616386374836,109.6109280617947,252.23874984167375,268.103609442672
1988-04,24.12173264787181,36.751644454329124,109.6109280617947,256.0567955406789,268.08377629000216
1988-05,23.387638966773377,40.728353588903275,109.6109280617947,177.00850999163185,230.73222035006927
1988-06,17.683824692123903,29.730510408096027,109.61092806179471,107.30025695752511,156.7938356607068
1988-07,28.15502530916852,30.857173822232685,109.6109280617947,318.375,333.7592440051496
1988-08,29.518048709698316,30.12718702222983,109.61092806179471,126.03030303030302,181.45193699778545
1988-09,17.932353580668146,24.077405724452813,109.6109280617947,196.01666666666668,254.11103789138457
1988-10,12.907353580668147,41.752405724452814,109.6109280617947,33.016666666666666,128.0332235037435
1988-11,35.149816975835186,37.76863215556602,109.6109280617947,269.2916666666667,288.8193986821153
1988-12,24.0,11.625000000000002,109.6109280617947,302.5,302.5
1989-01,27.2156658322072,44.684676459468506,109.6109280617947,238.82136562248814,248.91211439853362
1989-02,26.591154938333553,51.71819159738624,109.6109280617947,252.52516626663387,260.53626391823644
1989-03,27.226935152807407,50.92450037660874,109.6109280617947,251.1252936806871,264.1740244966486
1989-04,21.77510779898419,47.331402439024394,109.6109280617947,241.83638211382112,253.66495057664162
1989-05,20.819381639786418,31.762179487179484,109.6109280617947,251.80448717948718,260.26172397531883
1989-06,19.19793340018058,31.028878765165732,109.6109280617947,172.67792792792793,197.91287086104293
1989-07,19.02443776328442,33.88583865620976,109.6109280617947,115.30147058823529,155.44576872769224
1989-08,17.643892102751558,27.94146077178197,109.6109280617947,116.55952380952381,152.11478626790796
1989-09,19.786554850238627,35.53767183746091,109.6109280617947,138.8488095238095,160.98646348167392
1989-10,13.875,70.91666666666667,109.6109280617947,157.50743991073966,192.71108259800454
1989-12,25.66224849391141,46.031827048296854,109.6109280617947,217.17444444444442,236.7309015193504
1990-01,21.24747865644309,37.228462914531924,109.6109280617947,236.7151728153632,250.78726179863486
1990-02,23.584887925529177,37.28200069810401,109.6109280617947,211.0097632324388,220.78752315174665
1990-03,21.362725217705403,38.90050843133003,109.6109280617947,219.7725042381509,231.01451119707477
1990-04,20.793946846718804,34.52741151834722,109.6109280617947,244.0863094449094,253.79817872197557
1990-05,21.017284308880914,38.36487110296989,109.6109280617947,236.7147627358268,253.77091949062225
1990-06,19.72787335235909,34.634415824957905,109.6109280617947,252.97055855586314,270.5805646810426
1990-07,17.604166666666668,31.168364070034304,109.6109280617947,148.82344645450326,174.9900673588408
1990-08,19.877871148459384,36.44642064911368,109.6109280617947,132.74398496574204,163.9906600773925
1990-09,21.35123966942149,34.25795064977078,109.6109280617947,126.0320984991183,151.07646552576796
1990-10,22.600455729166665,37.9302734375,109.6109280617947,186.22240040411444,209.48972433333313
1990-11,24.875066137566137,40.78690476190476,109.6109280617947,227.2805176549557,249.02056215349862
1990-12,25.25326236698282,42.28501748812296,109.61092806179468,240.66552480681008,261.29011010482066
1991-01,26.946647144089088,44.53199371496352,109.6109280617947,249.13311501151097,263.4904992326716
1991-02,25.407494276237877,41.18009935218982,109.6109280617947,226.67908987870348,245.09994172504568
1991-03,21.618300795704034,38.15433439341719,109.6109280617947,219.0266312927735,235.89080034929955
1991-04,20.9362490695775,35.713038595026745,109.6109280617947,256.0303948118821,270.0099487514534
1991-05,20.370112126903493,36.745462007881706,109.6109280617947,226.51261181083518,242.11268045448492
1991-06,20.59756094470958,36.94004943633423,109.6109280617947,185.65114793225746,207.1052504226705
1991-07,20.024866397363837,36.28657376808233,109.6109280617947,161.95687223268675,192.47412361811325
1991-08,17.219865673986483,33.12434109141023,109.6109280617947,114.86151504326449,153.5065023619824
1991-09,18.385434356381374,35.718077280848156,109.6109280617947,146.31662397194674,172.8947866769577
1991-10,20.871564845328415,37.828877987615215,109.6109280617947,223.87811012662067,239.31023398222595
1991-11,20.79345816740477,38.73470384957547,109.6109280617947,240.7207386844761,255.79950325808554
1991-12,22.54767947141665,39.748532746511934,109.6109280617947,253.12557919512247,267.17447652376546
1992-01,22.673138423421765,41.89175564132737,109.61092806179471,187.3493758805942,217.00795344071565
1992-02,18.507485685856455,40.32058687487676,109.6109280617947,154.46992958307277,185.2256325678544
1992-03,21.86930532575221,42.98503053420644,109.6109280617947,176.87605015407354,201.920124730705
1992-04,20.594560679857267,37.817333641099616,109.61092806179468,235.74223941212645,248.3428768381259
1992-05,22.30850291027857,44.71188231534591,109.6109280617947,249.31409426658706,260.7406619557476
1992-06,18.671205913992683,36.50691534705334,109.6109280617947,219.82524968548665,241.21238773884528
1992-07,20.035100070000418,43.08228463899608,109.6109280617947,157.11730663635183,198.68296773909972
1992-08,20.39923776882785,47.75022275226415,109.6109280617947,84.46533282958835,145.70630085705267
